"Gene.symbol" "adj.P.Val" "P.Value" "logFC"
"PTGER1" 5.78479762139246e-20 1.70151115400684e-24 -3.54335620917647
"RALYL" 2.80241786002994e-17 1.64857806931581e-21 -4.10677647058824
"EGLN3" 1.64086249559428e-16 1.4479050199373e-20 4.96318627452941
"TSPAN8" 2.93122325328935e-16 4.13776805816822e-20 -5.93769281047059
"S100A2" 2.93122325328935e-16 5.29176575184151e-20 -5.709403268
"TMCC1" 2.93122325328935e-16 5.99046271465587e-20 3.39041176470588
"SFRP1" 4.80807493271403e-16 1.13137830053863e-19 -5.54035032682353
"SERPINA5" 3.05770532104436e-15 8.09440199111691e-19 -4.98003529411765
"ANGPTL4" 3.12217344171776e-15 9.18340326406778e-19 5.55695882352941
"EPN3" 3.51094704911591e-15 1.17412390145702e-18 -5.30582352941176
"TMEM61" 3.51094704911591e-15 1.23923067796314e-18 -4.76675032682353
"ADH1A" 3.54836417481639e-15 1.35680729079984e-18 -2.96694304388235
"VEGFA" 4.81313615956337e-15 2.26513849500012e-18 3.43758823529412
"DNER" 5.01211837211548e-15 2.50620660997597e-18 -4.06641045747059
"KNG1" 5.758430808406e-15 3.04876035505936e-18 -6.66922037817647
"RASL11B" 5.8137074558116e-15 3.24902763869699e-18 -4.31840378147059
"C1orf116" 7.79013203216713e-15 4.58270017775583e-18 -3.70823333335294
"ENPP3" 8.94669064409515e-15 5.56021677333002e-18 4.90058823529412
"VTCN1" 8.94669064409515e-15 5.82861845986701e-18 -5.14637647058824
"CA10" 8.94669064409515e-15 6.28288667607972e-18 -3.659082633
