"""regulation""","name","selected","shared name"
"""down""","""NPNT""","false","""NPNT"""
"""down""","""FAXC""","false","""FAXC"""
"""down""","""PSD3""","false","""PSD3"""
"""down""","""NAT8L""","false","""NAT8L"""
"""down""","""GP2""","false","""GP2"""
"""down""","""FRK""","false","""FRK"""
"""down""","""SDR42E1""","false","""SDR42E1"""
"""down""","""GREM2""","false","""GREM2"""
"""down""","""SLC8A1""","false","""SLC8A1"""
"""down""","""EPB41L5""","false","""EPB41L5"""
"""down""","""hsa-miR-532-5p""","false","""hsa-miR-532-5p"""
"""down""","""ANO5""","false","""ANO5"""
"""down""","""BSND""","false","""BSND"""
"""down""","""FLRT2""","false","""FLRT2"""
"""down""","""PPM1E""","false","""PPM1E"""
"""up""","""KALRN""","false","""KALRN"""
"""up""","""GJC1""","false","""GJC1"""
"""down""","""HYKK""","false","""HYKK"""
"""down""","""GABRA2""","false","""GABRA2"""
"""down""","""PLA2R1""","false","""PLA2R1"""
"""down""","""VAV3""","false","""VAV3"""
"""down""","""PCDH9""","false","""PCDH9"""
"""down""","""FECH""","false","""FECH"""
"""down""","""C7""","false","""C7"""
"""up""","""RIMKLA""","false","""RIMKLA"""
"""up""","""RGMA""","false","""RGMA"""
"""up""","""hsa-miR-28-5p""","false","""hsa-miR-28-5p"""
"""down""","""THSD4""","false","""THSD4"""
"""down""","""KSR2""","false","""KSR2"""
"""down""","""C21orf62""","false","""C21orf62"""
"""up""","""NKAIN1""","false","""NKAIN1"""
"""up""","""hsa-miR-140-5p""","false","""hsa-miR-140-5p"""
"""up""","""FAM78A""","false","""FAM78A"""
