Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	90	42.45283018867924	2.7459560528242738E-8	DIRAS2, MRGPRF, GRIK3, AQP2, CHRDL1, SLC8A1, LAMP5, CDH6, CDH4, RASSF2, RAB42, IYD, LIPH, DNER, CHP2, SLC16A7, THSD7A, RALGPS1, SH3GL2, VAV3, PAQR9, ENTPD3, MME, CD300A, SEMA6D, COL23A1, KSR2, PHKA2, ANO5, F3, PRLR, RGMA, BACE2, CLDN10, C1ORF116, CACNB4, SCNN1A, KIT, CLDN19, TBC1D24, PLA2R1, TRABD2B, CDH19, GNAZ, KCNE1, SLC24A3, SUCNR1, SHC3, TMPRSS2, ATP1A2, CD1D, LYPD6, GJC1, EPB41L5, NKAIN1, C7, FLRT2, MARVELD2, ERBB4, BSND, TSPAN2, SCN3A, SLC38A4, SLC19A2, GABRA2, SLC14A1, LIMS3, KCNJ10, ERVMER34-1, TMEM30B, PCDH9, EGF, GAD1, ARHGEF39, KCNJ13, PLCL1, TMEM50B, SLC12A1, SLC52A3, GP2, CGN, HSPA2, MPP7, KITLG, DLG2, BMPR1B, XKR4	205	5334	20587	1.6944497791434607	6.974704143014598E-6	6.9747283741736554E-6	6.864890132060684E-6
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	72	33.9622641509434	5.81956258081232E-7	CLIC5, DIRAS2, MRGPRF, GRIK3, AQP2, SLC8A1, LAMP5, CDH6, CDH4, IYD, LIPH, DNER, PSD3, CHP2, SLC16A7, THSD7A, RALGPS1, PAQR9, ENTPD3, MME, CD300A, SEMA6D, COL23A1, PHKA2, ANO5, RGMA, BACE2, CLDN10, SCNN1A, KIT, CLDN19, TBC1D24, PLA2R1, TRABD2B, CDH19, KCNE1, SLC24A3, SUCNR1, TMPRSS2, ATP1A2, CD1D, LYPD6, GJC1, EPB41L5, NKAIN1, C7, FLRT2, MARVELD2, ERBB4, BSND, SCN3A, SLC38A4, SLC19A2, GABRA2, SLC14A1, LIMS3, KCNJ10, ERVMER34-1, TMEM30B, PCDH9, ARHGEF39, SLC12A1, SLC52A3, GP2, MPP7, KITLG, DLG2, DES, BMPR1B, XKR4	188	3904	17662	1.7326255667945587	1.978632277999104E-5	1.9786512774761888E-5	1.8622600258599423E-5
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	56	26.41509433962264	2.851603804481411E-6	SEMA5B, MRGPRF, GRIK3, AQP2, SLC8A1, LAMP5, CDH6, CDH4, DNER, SLC16A7, RNF150, THSD7A, PAQR9, ENTPD3, MME, CD300A, SEMA6D, COL23A1, ANO5, F3, PRLR, BACE2, CLDN10, SCNN1A, KIT, CLDN19, PLA2R1, TRABD2B, CDH19, CHODL, SLC24A3, SUCNR1, TMPRSS2, ATP1A2, CD1D, GJC1, NKAIN1, FLRT2, MARVELD2, ERBB4, BSND, TSPAN2, SCN3A, SLC38A4, SLC19A2, GABRA2, KCNJ10, ERVMER34-1, PCDH9, EGF, ATRNL1, KCNJ13, SLC52A3, NETO2, KITLG, BMPR1B	209	2931	20516	1.8755066693438724	0.002767925061975318	0.0027717588979559314	0.0027717588979559314
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	118	55.660377358490564	7.075824308426844E-6	SEMA5B, SCOC, MRGPRF, AQP2, SLC8A1, HS6ST3, LAMP5, CDH6, CDH4, RAB42, CREB3L3, IYD, LIPH, SMCO3, CHP2, SLC16A7, THSD7A, SH3GL2, PAQR9, TMEM52B, ENTPD3, CD300A, SEMA6D, COL23A1, PHKA2, PRLR, RUNX1, CYP39A1, PAPPA, CLIP4, SCNN1A, TBC1D24, PGR, PLA2R1, TRABD2B, CHODL, GNAZ, KCNE1, SUCNR1, FECH, CD1D, HIGD1A, LYPD6, GJC1, EPB41L5, NKAIN1, CYP2B6, AP5M1, C7, FLRT2, TSPAN2, SCN3A, FAM83B, SLC38A4, SLC19A2, SDR42E1, SLC14A1, ARHGEF39, TMEM50B, SLC52A3, GP2, NETO2, DLG2, UST, XKR4, BMPR1B, CLIC5, DOC2A, HILPDA, DIRAS2, GRIK3, DNER, PSD3, EFHD1, RNF150, RALGPS1, PACRG, MME, KSR2, ANO5, F3, RGMA, CLDN10, BACE2, KIT, CLDN19, NAT8L, CDH19, SLC24A3, NDUFB5, FAXC, TMPRSS2, ATP1A2, JAKMIP3, ERMP1, MARVELD2, ERBB4, BSND, BID, SLC25A25, GABRA2, LIMS3, RIC3, ERVMER34-1, KCNJ10, TMEM30B, PCDH9, EGF, ATRNL1, KCNJ13, SLC12A1, GRHL2, MPP7, KITLG, DES	188	8224	17662	1.3479722038248199	2.4054994085853654E-4	1.2028901324325636E-4	1.1321318893482951E-4
UP_KW_DISEASE	KW-0209~Deafness	15	7.0754716981132075	1.9918607592700285E-5	CLIC5, KCNE1, KCNJ10, EYA4, ESRRB, SLC52A3, MITF, GRHL2, KITLG, MARVELD2, COL4A4, ESRP1, BSND, TBC1D24, SLC19A2	65	277	4570	3.807275756734241	8.163376597645211E-4	8.166629113007117E-4	8.166629113007117E-4
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	81	38.20754716981132	3.0689245001734805E-5	SEMA5B, HILPDA, MRGPRF, GRIK3, AQP2, SLC8A1, HS6ST3, LAMP5, CDH6, CDH4, CREB3L3, IYD, DNER, SMCO3, SLC16A7, RNF150, THSD7A, PAQR9, PACRG, ENTPD3, MME, TMEM52B, CD300A, SEMA6D, COL23A1, ANO5, F3, PRLR, RUNX1, CYP39A1, BACE2, CLDN10, PAPPA, CLIP4, SCNN1A, KIT, CLDN19, NAT8L, PLA2R1, CDH19, CHODL, KCNE1, SUCNR1, NDUFB5, FAXC, TMPRSS2, ATP1A2, CD1D, HIGD1A, JAKMIP3, GJC1, NKAIN1, ERMP1, MARVELD2, ERBB4, TSPAN2, SCN3A, SLC25A25, SLC38A4, SLC19A2, GABRA2, SLC14A1, SDR42E1, RIC3, KCNJ10, ERVMER34-1, TMEM30B, PCDH9, EGF, ATRNL1, ARHGEF39, KCNJ13, TMEM50B, SLC12A1, GP2, NETO2, KITLG, UST, BMPR1B, XKR4	205	5395	20587	1.5077619295192026	0.007764884160585406	0.0038975341152203205	0.0038361556252168505
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	64	30.18867924528302	3.16047445025382E-5	SEMA5B, MRGPRF, GRIK3, AQP2, SLC8A1, HS6ST3, LAMP5, CDH6, CDH4, CREB3L3, DNER, SLC16A7, RNF150, THSD7A, PAQR9, ENTPD3, MME, CD300A, SEMA6D, COL23A1, ANO5, F3, PRLR, BACE2, CLDN10, SCNN1A, KIT, CLDN19, PLA2R1, TRABD2B, CDH19, CHODL, KCNE1, SLC24A3, SUCNR1, TMPRSS2, ATP1A2, CD1D, GJC1, NKAIN1, ERMP1, FLRT2, MARVELD2, ERBB4, BSND, TSPAN2, SCN3A, SLC38A4, SLC19A2, GABRA2, RIC3, KCNJ10, ERVMER34-1, TMEM30B, PCDH9, EGF, ATRNL1, KCNJ13, SLC12A1, SLC52A3, NETO2, KITLG, UST, BMPR1B	209	3826	20516	1.642031229287399	0.030253223880594926	0.015359905828233567	0.015359905828233567
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	11	5.188679245283019	1.740573259359964E-4	SLC14A1, KCNJ10, DLG2, HPGD, MARVELD2, ERBB4, BSND, CLDN19, SLC16A7, CD1D, AQP2	205	245	20587	4.508850174216027	0.04325119990146198	0.014736853595914362	0.014504777161333034
UP_SEQ_FEATURE	TRANSMEM:Helical	79	37.264150943396224	2.0702134068698128E-4	SEMA5B, HILPDA, MRGPRF, GRIK3, AQP2, SLC8A1, LAMP5, CDH6, CDH4, IYD, DNER, SMCO3, SLC16A7, RNF150, THSD7A, PAQR9, PACRG, ENTPD3, MME, TMEM52B, CD300A, SEMA6D, ANO5, F3, PRLR, CYP39A1, BACE2, CLDN10, PAPPA, CLIP4, SCNN1A, KIT, CLDN19, NAT8L, PLA2R1, TRABD2B, CDH19, CHODL, KCNE1, SLC24A3, NDUFB5, FAXC, TMPRSS2, ATP1A2, CD1D, HIGD1A, JAKMIP3, GJC1, NKAIN1, ERMP1, FLRT2, MARVELD2, ERBB4, BSND, TSPAN2, SCN3A, SLC38A4, SLC19A2, GABRA2, SLC14A1, SDR42E1, RIC3, KCNJ10, ERVMER34-1, TMEM30B, PCDH9, EGF, ATRNL1, ARHGEF39, KCNJ13, TMEM50B, SLC12A1, SLC52A3, GP2, NETO2, KITLG, BMPR1B, XKR4	209	5371	20516	1.4438375860437809	0.1822884025740812	0.06707491438258194	0.06707491438258194
GOTERM_MF_DIRECT	GO:0005496~steroid binding	5	2.358490566037736	2.2942378055854348E-4	PAQR9, ESRRB, ESRRG, PGR, ATP1A2	193	30	18913	16.332469775474955	0.08412866591815293	0.08786930795392216	0.0876398841733636
