"source" "target" "regulation"
"hsa-miR-140-5p" "LAMP5" "down"
"hsa-miR-140-5p" "CLIC5" "down"
"hsa-miR-140-5p" "BMPR1B" "down"
"hsa-miR-140-5p" "KLHL3" "down"
"hsa-miR-140-5p" "SLC16A7" "down"
"hsa-miR-140-5p" "THSD4" "down"
"hsa-miR-140-5p" "MAPK4" "down"
"hsa-miR-140-5p" "CCL28" "up"
"hsa-miR-140-5p" "PCDH9" "down"
"hsa-miR-140-5p" "VGLL3" "down"
"hsa-miR-140-5p" "MRO" "down"
"hsa-miR-140-5p" "SCOC" "down"
"hsa-miR-140-5p" "ARHGEF39" "up"
"hsa-miR-140-5p" "FAM222A" "down"
"hsa-miR-140-5p" "SUCNR1" "down"
"hsa-miR-140-5p" "LIMS3" "down"
"hsa-miR-140-5p" "XKR4" "down"
"hsa-miR-140-5p" "BSND" "down"
"hsa-miR-140-5p" "DCN" "down"
"hsa-miR-140-5p" "ATP6V1C2" "down"
"hsa-miR-140-5p" "ANKRD22" "down"
"hsa-miR-140-5p" "SDR42E1" "down"
"hsa-miR-140-5p" "PRSS35" "down"
"hsa-miR-140-5p" "RASSF2" "up"
"hsa-miR-140-5p" "NAT8L" "down"
"hsa-miR-140-5p" "BID" "up"
"hsa-miR-140-5p" "IYD" "down"
"hsa-miR-140-5p" "PSD3" "down"
"hsa-miR-140-5p" "ATRNL1" "down"
"hsa-miR-140-5p" "CLIP4" "down"
"hsa-miR-140-5p" "MME" "down"
"hsa-miR-140-5p" "RNF150" "down"
"hsa-miR-140-5p" "NKAIN1" "up"
"hsa-miR-140-5p" "RIC3" "down"
"hsa-miR-140-5p" "TBC1D24" "down"
"hsa-miR-140-5p" "ACOT11" "down"
"hsa-miR-140-5p" "SLC38A4" "down"
"hsa-miR-140-5p" "LGI2" "down"
"hsa-miR-140-5p" "RGMA" "up"
"hsa-miR-140-5p" "SLC24A3" "down"
"hsa-miR-140-5p" "ERVMER34-1" "down"
"hsa-miR-140-5p" "ERMP1" "down"
"hsa-miR-140-5p" "GNAZ" "up"
"hsa-miR-140-5p" "PCK1" "down"
"hsa-miR-140-5p" "SPOCK1" "down"
"hsa-miR-140-5p" "CALB1" "down"
"hsa-miR-140-5p" "CDH6" "up"
"hsa-miR-140-5p" "PLCL1" "down"
"hsa-miR-140-5p" "SLC19A2" "down"
"hsa-miR-140-5p" "FLRT2" "down"
"hsa-miR-140-5p" "JAKMIP3" "up"
"hsa-miR-140-5p" "BTBD11" "down"
"hsa-miR-140-5p" "SLC8A1" "down"
"hsa-miR-140-5p" "PDE1A" "down"
"hsa-miR-140-5p" "DLG2" "down"
"hsa-miR-140-5p" "LONRF2" "down"
"hsa-miR-140-5p" "GP2" "down"
"hsa-miR-140-5p" "COL4A4" "down"
"hsa-miR-140-5p" "ATP1A2" "down"
"hsa-miR-140-5p" "SMCO3" "down"
"hsa-miR-140-5p" "NPNT" "down"
"hsa-miR-140-5p" "MAP9" "down"
"hsa-miR-140-5p" "TMEM52B" "down"
"hsa-miR-140-5p" "C1orf116" "down"
"hsa-miR-140-5p" "TMPRSS2" "down"
"hsa-miR-140-5p" "CCSER1" "down"
"hsa-miR-140-5p" "C21orf62" "down"
"hsa-miR-140-5p" "RALGPS1" "down"
"hsa-miR-140-5p" "GSTO2" "down"
"hsa-miR-28-5p" "PACRG" "down"
"hsa-miR-28-5p" "PFKFB3" "up"
"hsa-miR-28-5p" "VAV3" "down"
"hsa-miR-28-5p" "PLA2R1" "down"
"hsa-miR-28-5p" "GABRA2" "down"
"hsa-miR-28-5p" "GSTM3" "down"
"hsa-miR-28-5p" "ESRRG" "down"
"hsa-miR-28-5p" "TRABD2B" "up"
"hsa-miR-28-5p" "PRDM16" "down"
"hsa-miR-28-5p" "KCNE1" "down"
"hsa-miR-28-5p" "SDR42E1" "down"
"hsa-miR-28-5p" "AP5M1" "down"
"hsa-miR-28-5p" "ANO5" "down"
"hsa-miR-28-5p" "KLHL3" "down"
"hsa-miR-28-5p" "FGF1" "down"
"hsa-miR-28-5p" "CDH19" "down"
"hsa-miR-28-5p" "CREB3L3" "up"
"hsa-miR-28-5p" "COBLL1" "down"
"hsa-miR-28-5p" "DOC2A" "up"
"hsa-miR-28-5p" "THSD4" "down"
"hsa-miR-28-5p" "STK33" "down"
"hsa-miR-28-5p" "EYA4" "down"
"hsa-miR-28-5p" "EFHD1" "down"
"hsa-miR-28-5p" "PCDH9" "down"
"hsa-miR-28-5p" "CD1D" "up"
"hsa-miR-28-5p" "FAXC" "down"
"hsa-miR-28-5p" "ARHGEF39" "up"
"hsa-miR-28-5p" "DMRTC1" "down"
"hsa-miR-28-5p" "FAM78A" "up"
"hsa-miR-28-5p" "TSPYL5" "down"
"hsa-miR-28-5p" "BSND" "down"
"hsa-miR-28-5p" "DNER" "down"
"hsa-miR-28-5p" "LIPH" "down"
"hsa-miR-28-5p" "CLDN19" "down"
"hsa-miR-28-5p" "RAB42" "up"
"hsa-miR-28-5p" "CKAP2L" "up"
"hsa-miR-28-5p" "CNTD1" "down"
"hsa-miR-28-5p" "KSR2" "down"
"hsa-miR-28-5p" "RIMKLA" "up"
"hsa-miR-28-5p" "NAT8L" "down"
"hsa-miR-28-5p" "CXCL12" "down"
"hsa-miR-28-5p" "PSD3" "down"
"hsa-miR-28-5p" "DLG2" "down"
"hsa-miR-28-5p" "CLIP4" "down"
"hsa-miR-28-5p" "FECH" "down"
"hsa-miR-28-5p" "RUNX1" "up"
"hsa-miR-28-5p" "LRRC2" "down"
"hsa-miR-28-5p" "NKAIN1" "up"
"hsa-miR-28-5p" "NPNT" "down"
"hsa-miR-28-5p" "GJC1" "up"
"hsa-miR-28-5p" "KALRN" "up"
"hsa-miR-28-5p" "PPM1E" "down"
"hsa-miR-28-5p" "PYGO1" "down"
"hsa-miR-28-5p" "CYP39A1" "down"
"hsa-miR-28-5p" "SHC3" "down"
"hsa-miR-28-5p" "CA10" "down"
"hsa-miR-28-5p" "RGMA" "up"
"hsa-miR-28-5p" "RNF150" "down"
"hsa-miR-28-5p" "EPB41L5" "down"
"hsa-miR-28-5p" "CHP2" "down"
"hsa-miR-28-5p" "GREM2" "down"
"hsa-miR-28-5p" "ERVMER34-1" "down"
"hsa-miR-28-5p" "GRHL2" "down"
"hsa-miR-28-5p" "DES" "down"
"hsa-miR-28-5p" "FRK" "down"
"hsa-miR-28-5p" "KCNJ10" "down"
"hsa-miR-28-5p" "SH3GL2" "down"
"hsa-miR-28-5p" "TFAP2B" "down"
"hsa-miR-28-5p" "SPOCK1" "down"
"hsa-miR-28-5p" "PDE1A" "down"
"hsa-miR-28-5p" "ERBB4" "down"
"hsa-miR-28-5p" "TMEM50B" "down"
"hsa-miR-28-5p" "PPP1R1A" "down"
"hsa-miR-28-5p" "CD300A" "up"
"hsa-miR-28-5p" "FLRT2" "down"
"hsa-miR-28-5p" "HILPDA" "up"
"hsa-miR-28-5p" "GAD1" "down"
"hsa-miR-28-5p" "HIGD1A" "down"
"hsa-miR-28-5p" "PPARGC1A" "down"
"hsa-miR-28-5p" "SLC8A1" "down"
"hsa-miR-28-5p" "PAX4" "up"
"hsa-miR-28-5p" "FBLN5" "down"
"hsa-miR-28-5p" "JAKMIP3" "up"
"hsa-miR-28-5p" "MPPED2" "down"
"hsa-miR-28-5p" "SLC12A1" "down"
"hsa-miR-28-5p" "C7" "down"
"hsa-miR-28-5p" "CYP2B6" "down"
"hsa-miR-28-5p" "HPGD" "down"
"hsa-miR-28-5p" "FAM83B" "down"
"hsa-miR-28-5p" "HYKK" "down"
"hsa-miR-28-5p" "MARVELD2" "down"
"hsa-miR-28-5p" "PLAG1" "down"
"hsa-miR-28-5p" "TP63" "down"
"hsa-miR-28-5p" "MRO" "down"
"hsa-miR-28-5p" "OGDHL" "down"
"hsa-miR-28-5p" "C21orf62" "down"
"hsa-miR-28-5p" "ARG2" "down"
"hsa-miR-532-5p" "PGR" "down"
"hsa-miR-532-5p" "CACNB4" "down"
"hsa-miR-532-5p" "SLC25A25" "down"
"hsa-miR-532-5p" "DACH2" "down"
"hsa-miR-532-5p" "BMPR1B" "down"
"hsa-miR-532-5p" "WDR72" "down"
"hsa-miR-532-5p" "THSD4" "down"
"hsa-miR-532-5p" "ENTPD3" "down"
"hsa-miR-532-5p" "SLC14A1" "down"
"hsa-miR-532-5p" "TSPAN2" "down"
"hsa-miR-532-5p" "PCDH9" "down"
"hsa-miR-532-5p" "RHOXF2" "up"
"hsa-miR-532-5p" "FAXC" "down"
"hsa-miR-532-5p" "CGNL1" "down"
"hsa-miR-532-5p" "FAM78A" "up"
"hsa-miR-532-5p" "SLC52A3" "down"
"hsa-miR-532-5p" "BSND" "down"
"hsa-miR-532-5p" "DACH1" "down"
"hsa-miR-532-5p" "PRELID2" "up"
"hsa-miR-532-5p" "ATP6V1C2" "down"
"hsa-miR-532-5p" "SLFN13" "up"
"hsa-miR-532-5p" "MRGPRF" "down"
"hsa-miR-532-5p" "SDR42E1" "down"
"hsa-miR-532-5p" "CHRDL1" "down"
"hsa-miR-532-5p" "HS6ST3" "down"
"hsa-miR-532-5p" "SEMA6D" "down"
"hsa-miR-532-5p" "RASSF2" "up"
"hsa-miR-532-5p" "COL23A1" "up"
"hsa-miR-532-5p" "MPP7" "down"
"hsa-miR-532-5p" "KSR2" "down"
"hsa-miR-532-5p" "RIMKLA" "up"
"hsa-miR-532-5p" "NAT8L" "down"
"hsa-miR-532-5p" "LYPD6" "down"
"hsa-miR-532-5p" "BID" "up"
"hsa-miR-532-5p" "MITF" "down"
"hsa-miR-532-5p" "LONRF2" "down"
"hsa-miR-532-5p" "PAQR9" "up"
"hsa-miR-532-5p" "PSD3" "down"
"hsa-miR-532-5p" "ANO5" "down"
"hsa-miR-532-5p" "TANC2" "up"
"hsa-miR-532-5p" "FECH" "down"
"hsa-miR-532-5p" "NKAIN1" "up"
"hsa-miR-532-5p" "ERC2" "down"
"hsa-miR-532-5p" "RIC3" "down"
"hsa-miR-532-5p" "TBC1D24" "down"
"hsa-miR-532-5p" "NETO2" "up"
"hsa-miR-532-5p" "TFCP2L1" "down"
"hsa-miR-532-5p" "PPM1E" "down"
"hsa-miR-532-5p" "THSD7A" "down"
"hsa-miR-532-5p" "DIRAS2" "up"
"hsa-miR-532-5p" "ESRP1" "down"
"hsa-miR-532-5p" "PDP1" "down"
"hsa-miR-532-5p" "RGMA" "up"
"hsa-miR-532-5p" "CGN" "down"
"hsa-miR-532-5p" "NAP1L2" "down"
"hsa-miR-532-5p" "HSPA2" "down"
