"miRNA_ID" "adj.P.Val" "P.Value" "logFC"
"hsa-miR-210" 9.5753081208223e-14 3.00166398771859e-16 4.84470588235294
"hsa-miR-200c" 7.54991049062034e-11 4.73348620101589e-13 -4.349281746
"hsa-miR-155" 3.17280250231403e-07 2.98382680468404e-09 3.1449019607647
"hsa-miR-34b*" 3.29915935283981e-07 4.13687693146058e-09 2.44196078429412
"hsa-miR-34a" 4.3713759192237e-07 6.85168639376756e-09 2.58705882352941
"hsa-miR-141" 4.90072663967156e-07 9.21766766082425e-09 -4.71941176470588
"hsa-miR-130b" 1.07471426439204e-05 2.35830716324273e-07 1.64801960782353
"hsa-miR-142-3p" 2.44563915708898e-05 6.13326434379682e-07 2.50502614376471
"hsa-miR-886-3p" 4.1498373795874e-05 1.31089055204926e-06 2.05882352941177
"hsa-miR-93" 4.1498373795874e-05 1.41318670258293e-06 1.73058823529412
"hsa-miR-142-5p" 4.1498373795874e-05 1.43097840675427e-06 2.49176470588235
"hsa-miR-532-3p" 6.10610814438312e-05 2.29696858095917e-06 -1.61470588235294
"hsa-miR-146a" 8.46410920676179e-05 3.44932350118819e-06 1.9185294117647
"hsa-miR-34a*" 0.000216706698320015 9.51063879774363e-06 1.65135834976471
"hsa-miR-200a*" 0.000245019417914596 1.1521289243633e-05 -1.25705042017647
"hsa-miR-224" 0.000245547977071059 1.29712913822915e-05 1.95515359476471
"hsa-miR-342-5p" 0.000245547977071059 1.30856288721254e-05 1.29205882352941
"hsa-miR-564" 0.000301444594162971 1.70094128367821e-05 -1.33764705882353
"hsa-miR-21*" 0.000603459627493111 3.5942736433759e-05 1.93379411764706
"hsa-miR-126*" 0.000669241811180675 4.19587342433025e-05 1.78785294117647
