lncRNA,miRNA
LINC01606,hsa-let-7f-5p
LINC01606,hsa-miR-16-2-3p
LINC01606,hsa-miR-19a-3p
LINC00982,hsa-let-7d-5p
LINC00982,hsa-let-7e-5p
LINC00982,hsa-let-7g-5p
LINC00982,hsa-miR-1301-3p
LINC00982,hsa-miR-139-5p
LINC00982,hsa-miR-146a-5p
LINC00982,hsa-miR-148b-5p
LINC00982,hsa-miR-185-5p
LINC00982,hsa-miR-221-3p
LINC00982,hsa-miR-28-5p
LINC00982,hsa-miR-29a-3p
LINC00982,hsa-miR-29b-3p
LINC00982,hsa-miR-29c-3p
LINC00982,hsa-miR-34a-5p
LINC00982,hsa-miR-423-5p
LINC00982,hsa-miR-7-5p
LINC00982,hsa-miR-708-5p
LINC00944,hsa-miR-20a-5p
LINC00944,hsa-miR-26a-5p
LINC00944,hsa-miR-26b-5p
LINC00944,hsa-miR-27a-3p
LINC00944,hsa-miR-532-5p
LINC00473,hsa-let-7a-5p
LINC00473,hsa-let-7e-5p
LINC00473,hsa-miR-106b-5p
LINC00473,hsa-miR-107
LINC00473,hsa-miR-1185-5p
LINC00473,hsa-miR-124-3p
LINC00473,hsa-miR-132-5p
LINC00473,hsa-miR-140-5p
LINC00473,hsa-miR-141-5p
LINC00473,hsa-miR-148b-3p
LINC00473,hsa-miR-148b-5p
LINC00473,hsa-miR-15a-5p
LINC00473,hsa-miR-15b-5p
LINC00473,hsa-miR-16-5p
LINC00473,hsa-miR-17-5p
LINC00473,hsa-miR-181a-5p
LINC00473,hsa-miR-183-5p
LINC00473,hsa-miR-195-5p
LINC00473,hsa-miR-197-5p
LINC00473,hsa-miR-19a-3p
LINC00473,hsa-miR-19b-3p
LINC00473,hsa-miR-203a-3p
LINC00473,hsa-miR-210-3p
LINC00473,hsa-miR-218-5p
LINC00473,hsa-miR-221-3p
LINC00473,hsa-miR-23a-3p
LINC00473,hsa-miR-27a-3p
LINC00473,hsa-miR-27b-3p
LINC00473,hsa-miR-30a-3p
LINC00473,hsa-miR-30c-1-3p
LINC00473,hsa-miR-30e-3p
LINC00473,hsa-miR-33a-5p
LINC00473,hsa-miR-33b-5p
LINC00473,hsa-miR-34a-5p
LINC00473,hsa-miR-423-5p
LINC00473,hsa-miR-584-5p
LINC00473,hsa-miR-7-5p
LINC00473,hsa-miR-9-5p
LINC00473,hsa-miR-93-5p
