ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-mir-199b-5p,MIMAT0000263,JAG1,182,In situ hybridization//Luciferase reporter assay//Next Generation Sequencing (NGS)//qRT-PCR//Western blot,24659709|27957826,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DDR1,780,Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot,22374871,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SERPINH1,871,PAR-CLIP,21572407|27292025,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CDK9,1025,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,RCC1,1104,PAR-CLIP,23446348|21572407|20371350,Unspecified
hsa-mir-199b-5p,MIMAT0000263,COL19A1,1310,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,COX15,1355,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,CSNK2A1,1457,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,DDX3X,1654,PAR-CLIP,21572407,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SLC26A2,1836,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,E2F3,1871,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ERBB2,2064,Luciferase reporter assay//qRT-PCR//Western blot,23296799,Unspecified
hsa-mir-199b-5p,MIMAT0000263,EXTL3,2137,PAR-CLIP,23446348|22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,GATA6,2627,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,GM2A,2760,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,GRB10,2887,ChIP-seq//Flow//qRT-PCR//Western blot,24608802,Unspecified
hsa-mir-199b-5p,MIMAT0000263,HIF1A,3091,Luciferase reporter assay,21557766,Unspecified
hsa-mir-199b-5p,MIMAT0000263,HES1,3280,Flow//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot,19308264|23354452,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ITGA3,3675,Luciferase reporter assay//qRT-PCR//Western blot,28324890,Unspecified
hsa-mir-199b-5p,MIMAT0000263,JUNB,3726,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,KIT,3815,ChIP-seq//Flow//qRT-PCR//Western blot,24608802,Unspecified
hsa-mir-199b-5p,MIMAT0000263,LAMC2,3918,Luciferase reporter assay,15131085,Unspecified
hsa-mir-199b-5p,MIMAT0000263,LIF,3976,HITS-CLIP,19536157,Unspecified
hsa-mir-199b-5p,MIMAT0000263,MAP3K9,4293,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,ABCC1,4363,HITS-CLIP,23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,NAB2,4665,PAR-CLIP,26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,NDUFS2,4720,HITS-CLIP,23824327,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PIN1,5300,PAR-CLIP,23592263,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PODXL,5420,HITS-CLIP//Immunohistochemistry//Luciferase reporter assay//Northern blot//qRT-PCR//Western blot,22374871|23313552,Unspecified
hsa-mir-199b-5p,MIMAT0000263,POLR2F,5435,PAR-CLIP,23446348|22012620|26701625,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PSG3,5671,PAR-CLIP,22100165,Unspecified
hsa-mir-199b-5p,MIMAT0000263,PSG11,5680,PAR-CLIP,22100165,Unspecified
hsa-mir-199b-5p,MIMAT0000263,QSOX1,5768,PAR-CLIP,27292025,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SET,6418,Luciferase reporter assay//qRT-PCR//Western blot,19900756,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SLC8A1,6546,PAR-CLIP,22012620,Unspecified
hsa-mir-199b-5p,MIMAT0000263,SNAP25,6616,HITS-CLIP,19536157,Unspecified
