"miRNA" "Target" "mirDB" "targetScan" "mirTarBase" "Sum"
"hsa-miR-140-5p" "ERC2" 1 1 0 2
"hsa-miR-140-5p" "FGF9" 1 1 1 3
"hsa-miR-140-5p" "VEGFA" 1 1 1 3
"hsa-miR-140-5p" "HDAC4" 1 1 1 3
"hsa-miR-140-5p" "WNK4" 1 1 0 2
"hsa-miR-140-5p" "STC2" 1 1 0 2
"hsa-miR-532-5p" "STC2" 1 1 0 2
"hsa-miR-140-5p" "RALGPS1" 1 1 0 2
"hsa-miR-140-5p" "LMNB1" 1 1 0 2
"hsa-miR-140-5p" "ACSL6" 1 1 0 2
"hsa-miR-140-5p" "SHROOM3" 1 1 0 2
"hsa-miR-532-5p" "MPP7" 1 1 0 2
"hsa-miR-28-5p" "CHL1" 1 0 0 1
"hsa-miR-532-5p" "CHL1" 1 1 0 2
"hsa-miR-140-5p" "PDGFRA" 1 1 1 3
"hsa-miR-140-5p" "RASSF2" 1 1 0 2
"hsa-miR-28-5p" "RNF150" 1 1 0 2
"hsa-miR-28-5p" "SLC16A7" 1 1 0 2
