"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Gene.ID","condition"
"A_23_P4808",5.78479762139246e-20,1.70151115400684e-24,-24.8526418740907,45.0350661671489,-3.54335620917647,"PTGER1","prostaglandin E receptor 1","5731",TRUE
"A_23_P388220",2.80241786002994e-17,1.64857806931581e-21,-20.3189577755916,38.6369690317244,-4.10677647058824,"RALYL","RALY RNA binding protein-like","138046",TRUE
"A_23_P360379",1.64086249559428e-16,1.4479050199373e-20,19.0422211569909,36.5739168948607,4.96318627452941,"EGLN3","egl-9 family hypoxia inducible factor 3","112399",TRUE
"A_23_P36531",2.93122325328935e-16,4.13776805816822e-20,-18.4493893695758,35.5709200139722,-5.93769281047059,"TSPAN8","tetraspanin 8","7103",TRUE
"A_23_P201706",2.93122325328935e-16,5.29176575184151e-20,-18.3127015235661,35.3354141842809,-5.709403268,"S100A2","S100 calcium binding protein A2","6273",TRUE
"A_23_P170986",2.93122325328935e-16,5.99046271465587e-20,18.244102879776,35.2166112488933,3.39041176470588,"TMCC1","transmembrane and coiled-coil domain family 1","23023",TRUE
"A_23_P10127",4.80807493271403e-16,1.13137830053863e-19,-17.8956317516706,34.6067192051065,-5.54035032682353,"SFRP1","secreted frizzled related protein 1","6422",TRUE
"A_24_P321766",3.05770532104436e-15,8.09440199111691e-19,-16.8506686888226,32.7115446005447,-4.98003529411765,"SERPINA5","serpin family A member 5","5104",TRUE
"A_23_P159325",3.12217344171776e-15,9.18340326406778e-19,16.7853119221365,32.589592610372,5.55695882352941,"ANGPTL4","angiopoietin like 4","51129",TRUE
"A_23_P130027",3.51094704911591e-15,1.17412390145702e-18,-16.6586532185126,32.3520750903964,-5.30582352941176,"EPN3","epsin 3","55040",TRUE
"A_23_P11629",3.51094704911591e-15,1.23923067796314e-18,-16.6309328979444,32.2998837455605,-4.76675032682353,"TMEM61","transmembrane protein 61","199964",TRUE
"A_23_P58359",3.54836417481639e-15,1.35680729079984e-18,-16.5844550946289,32.2122072054041,-2.96694304388235,"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide","124",TRUE
"A_23_P81805",4.81313615956337e-15,2.26513849500012e-18,16.3235473547815,31.7160666743311,3.43758823529412,"VEGFA","vascular endothelial growth factor A","7422",TRUE
"A_23_P362148",5.01211837211548e-15,2.50620660997597e-18,-16.2724355329625,31.6180787298486,-4.06641045747059,"DNER","delta/notch like EGF repeat containing","92737",TRUE
"A_23_P212258",5.758430808406e-15,3.04876035505936e-18,-16.1737459281562,31.4281348856501,-6.66922037817647,"KNG1","kininogen 1","3827",TRUE
"A_23_P69738",5.8137074558116e-15,3.24902763869699e-18,-16.1418043208796,31.3664475405675,-4.31840378147059,"RASL11B","RAS like family 11 member B","65997",TRUE
"A_23_P12292",7.79013203216713e-15,4.58270017775583e-18,-15.9699575424414,31.0327874146505,-3.70823333335294,"C1orf116","chromosome 1 open reading frame 116","79098",TRUE
"A_23_P404536",8.94669064409515e-15,5.56021677333002e-18,15.8739607586796,30.8450823784134,4.90058823529412,"ENPP3","ectonucleotide pyrophosphatase/phosphodiesterase 3","5169",TRUE
"A_23_P518",8.94669064409515e-15,5.82861845986701e-18,-15.8506206950594,30.7993013779933,-5.14637647058824,"VTCN1","V-set domain containing T cell activation inhibitor 1","79679",TRUE
"A_23_P207461",8.94669064409515e-15,6.28288667607972e-18,-15.8135176326879,30.726408563137,-3.659082633,"CA10","carbonic anhydrase 10","56934",TRUE
"A_23_P387031",8.94669064409515e-15,6.31568255362914e-18,15.8109461651187,30.7213513632294,3.85776470588235,"COL23A1","collagen type XXIII alpha 1 chain","91522",TRUE
"A_24_P187218",1.21485086253876e-14,8.93325241586825e-18,-15.6403892896428,30.3843870209926,-4.40900784311765,"PCDH9","protocadherin 9","5101",TRUE
"A_23_P103486",1.70032718275977e-14,1.3003266883862e-17,15.45728204237,30.0192284155501,3.89543464052941,"CYP2J2","cytochrome P450 family 2 subfamily J member 2","1573",TRUE
"A_23_P83134",1.99310189671469e-14,1.59404533262704e-17,-15.3586183944454,29.8209957447967,-3.286595705,"GAS1","growth arrest specific 1","2619",TRUE
"A_23_P157793",1.99310189671469e-14,1.64147458991739e-17,15.3444527150505,29.7924490608662,4.46258823529412,"CA9","carbonic anhydrase 9","768",TRUE
"A_24_P886966",2.12180966264193e-14,1.80988529374128e-17,15.2973346688732,29.6973420183463,2.85091176470588,"MIR210HG","MIR210 host gene","100506211",TRUE
"A_32_P129752",2.36421111287641e-14,2.09763397898839e-17,-15.2263564965948,29.5536231600902,-4.38213165270588,"TMEM30B","transmembrane protein 30B","161291",TRUE
"A_23_P250102",2.36421111287641e-14,2.22292117039167e-17,-15.1985159044015,29.4971022866562,-2.00695098041176,"CAND2","cullin associated and neddylation dissociated 2 (putative)","23066",TRUE
"A_32_P154911",2.59545033243934e-14,2.51926174982347e-17,-15.1385855461498,29.3751493591173,-4.47955714288235,"PRR15","proline rich 15","222171",TRUE
"A_23_P217379",3.47320097352723e-14,3.47340529148555e-17,-14.9855716878674,29.0620068257888,-4.07080882352941,"COL4A6","collagen type IV alpha 6 chain","1288",TRUE
"A_23_P5301",3.6439383470068e-14,3.82008223467268e-17,-14.9404634962451,28.9692038869085,-5.93848529411765,"TFCP2L1","transcription factor CP2-like 1","29842",TRUE
"A_24_P102865",3.97728806016345e-14,4.32847985840484e-17,-14.8813720921675,28.8472937742049,-2.78170882352941,"TMEM61","transmembrane protein 61","199964",TRUE
"A_23_P390148",4.11810166885272e-14,4.64388662269746e-17,-14.8481823165595,28.7786516018772,-2.99372352941176,"RALGPS1","Ral GEF with PH domain and SH3 binding motif 1","9649",TRUE
"A_23_P169154",4.56053953192985e-14,5.36565625263821e-17,-14.7801792856619,28.6376283083349,-2.33273529411765,"ERMP1","endoplasmic reticulum metallopeptidase 1","79956",TRUE
"A_32_P115606",4.8484314290859e-14,5.84698183988828e-17,-14.7398482697566,28.5537478049096,-2.04703267976471,"PXK","PX domain containing serine/threonine kinase like","54899",TRUE
"A_23_P98121",5.09501183984009e-14,6.29420840264968e-17,-14.7053093090818,28.4817694294784,-4.10958823529412,"FXYD4","FXYD domain containing ion transport regulator 4","53828",TRUE
"A_23_P130352",5.55175674252497e-14,7.02175245392593e-17,-14.6541581530176,28.3749265396445,-2.38690513535294,"KCTD1","potassium channel tetramerization domain containing 1","284252",TRUE
"A_32_P171043",5.55796786263666e-14,7.27988095816019e-17,-14.6373038619573,28.3396576025202,-5.86061699347059,"CCBE1","collagen and calcium binding EGF domains 1","147372",TRUE
