Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	257	33.46354166666667	2.5908130791548E-18	MRGPRF, AQP5, ABCA12, AQP2, HS6ST2, HS6ST3, CRHBP, CREB3L3, LIPH, IGLON5, THSD7A, CCBE1, ST6GAL1, ENTPD3, KCNK10, SLC34A1, KCNK13, SFRP1, PAPPA, FREM1, CFTR, PTGFR, KLK1, CLCNKB, LPAR1, IL20RB, UMOD, CD1D, LYPD6, PLA2G7, ADAMTS16, C3, UGT8, NKAIN1, FLRT2, C7, TSPAN8, FLRT3, STC2, KCNMB2, ST8SIA4, TSPAN2, PROM1, SCN3A, GPM6B, PROM2, SLC19A2, LRRN2, TNFSF15, ABCA6, GP2, ABCA8, NETO2, GDF6, CP, CILP, HRG, SLC22A7, TDGF1, MRAP2, SCN2B, PTPRO, HEPACAM2, GRIK3, PTH1R, CTSV, PCSK6, CHRDL1, SERPINA4, SERPINA5, SLC22A15, CHL1, DNER, SOSTDC1, RNF150, MUC15, CD36, CLUL1, MME, NOG, ANO4, ANO5, F3, SORCS2, TMC4, F5, RGMA, BACE2, KIT, GAS1, ANGPTL2, ANGPTL4, ANGPTL1, PTGER4, PLPPR1, PTGER1, PTGER3, TMPRSS4, CXCR4, TMPRSS2, VWCE, HSD17B6, PTGS2, CST6, MFSD4A, ERMP1, EPCAM, GPC3, SUSD4, GPC5, GABRD, RHBG, GABRA2, GOLM1, ATRNL1, CD70, GCGR, SUSD1, PKDREJ, PRSS35, VEGFA, KITLG, LGR6, CCL28, SEMA5B, SCARB1, CNDP1, SLC8A1, LOXL2, CTGF, LAMP5, CDH6, FGF7, CDH4, EFEMP1, CDH3, FGF9, CDH1, FAM3B, SVEP1, ENPP3, ENPP6, IL13RA2, PDGFRA, KIRREL2, SEMA6A, SCARA5, CD300A, TMEM178A, SEMA6D, NPY1R, PRLR, TANC2, PGF, SCNN1G, EMCN, LOX, SCNN1B, COL4A4, COL4A6, COL4A5, DPEP1, ERP27, IGFALS, RHCG, PLA2R1, LPA, TRABD2B, C21ORF62, CHODL, KCNE1, SUCNR1, PROZ, TACSTD2, FBLN1, VTCN1, KNG1, FBLN5, FUT3, DPP6, CPAMD8, SLC38A4, SLC14A1, SLC52A3, LY86, SLC4A11, INHBB, LRP1B, TRPV6, OGN, UST, CNTN1, SPINK13, CSPG4, MOXD1, TNFAIP6, COL14A1, HTR2B, HAPLN1, ADGRE1, BDKRB2, MAN1A1, CA9, SOST, QRFPR, ABCC3, SLC13A1, SLC13A3, NPY5R, VWF, RNASET2, MMP9, DCN, GREM2, ADGRF1, C14ORF37, DNASE1, TDGF1P3, CDH19, SLC24A3, LAMA2, LAMA4, TYRP1, ITLN1, PLG, NDNF, NTN1, TSPAN33, MUC1, CLMP, ERBB4, MAN1C1, MAL2, SLIT2, MEST, KCNJ1, SLC12A3, MCOLN3, ERVMER34-1, TMEM30B, GALNT3, PCDH9, LGI4, EGF, SLC12A1, LGI2, MUC5B, NELL1, MFAP4, SLC4A9, FRAS1, GLRB, NPHS1, NPHS2, XPNPEP2, FOLR3, CPVL	735	4376	20516	1.639310276212862	7.50817630339061E-15	7.50817630339061E-15	7.484858985678217E-15
UP_KW_PTM	KW-0325~Glycoprotein	278	36.19791666666667	2.2249517094640994E-16	MRGPRF, SLC4A1, AQP5, ABCA12, AQP2, HS6ST2, HS6ST3, CRHBP, CREB3L3, LIPH, IGLON5, THSD7A, CHGB, CCBE1, ST6GAL1, ENTPD3, KCNK10, SLC34A1, KCNK13, SFRP1, PAPPA, FREM1, CFTR, PTGFR, KLK1, CLCNKB, LPAR1, IL20RB, UMOD, CD1D, LYPD6, PLA2G7, ADAMTS16, C3, UGT8, NKAIN1, C7, FLRT2, TSPAN8, FLRT3, STC2, KCNMB2, ST8SIA4, TSPAN2, PROM1, SCN3A, GPM6B, PROM2, SLC19A2, LRRN2, TNFSF15, ABCA6, GP2, ABCA8, NETO2, GDF6, CP, CILP, LYPD6B, HRG, SLC22A7, TDGF1, MRAP2, SCN2B, PTPRO, HEPACAM2, GRIK3, PTH1R, CTSV, PCSK6, CHRDL1, SERPINA4, SERPINA5, UCHL1, ESM1, SLC22A15, CHL1, CRTAC1, DNER, SOSTDC1, RNF150, MUC15, CD36, FGFBP1, CLUL1, MME, NOG, ANO4, ANO5, F3, SORCS2, TMC4, F5, RGMA, BACE2, KIT, GAS1, ANGPTL2, ANGPTL4, CRYAA, ANGPTL1, PTGER4, PLPPR1, PTGER1, PTGER3, TMPRSS4, CXCR4, TMPRSS2, VWCE, HSD17B6, PTGS2, CST6, MFSD4A, ERMP1, EPCAM, GPC3, SUSD4, GPC5, GC, GABRD, RHBG, GABRA2, GOLM1, ODAM, ATRNL1, CD70, GCGR, F11, SUSD1, PKDREJ, PRSS35, VEGFA, KITLG, C16ORF89, LGR6, CCL28, SEMA5B, SCARB1, OLFML2A, CNDP1, SLC8A1, LOXL2, CTGF, LAMP5, CDH6, FGF7, CDH4, EFEMP1, CDH3, FGF9, CDH1, FAM3B, SVEP1, ENPP3, ENPP6, IL13RA2, PDGFRA, KIRREL2, SEMA6A, SCARA5, CD300A, TMEM178A, SEMA6D, IGFBP3, NPY1R, PRLR, TANC2, PGF, SCNN1G, EMCN, LOX, SCNN1B, COL4A4, SCNN1A, COL4A6, COL4A5, DPEP1, ERP27, IGFALS, RHCG, PLA2R1, LPA, TRABD2B, C21ORF62, CHODL, KCNE1, SUCNR1, PROZ, TACSTD2, SLC1A3, FBLN1, VTCN1, KNG1, FBLN5, FUT3, DPP6, CPAMD8, SLC38A4, SLC14A1, SLC52A3, LY86, SLC4A11, INHBB, LRP1B, TRPV6, OGN, UST, CNTN1, SPINK13, CSPG4, MOXD1, TNFAIP6, COL14A1, HTR2B, HAPLN1, ADGRE1, BDKRB2, MAN1A1, CA9, SOST, QRFPR, ABCC3, SLC13A1, SLC13A3, NPY5R, VWF, RNASET2, MMP9, DCN, GREM2, ADGRF1, C14ORF37, DNASE1, TDGF1P3, CDH19, SLC24A3, LAMA2, LAMA4, TYRP1, ITLN1, PLG, NDNF, NTN1, TSPAN33, MUC1, CLMP, ERBB4, MAN1C1, SPOCK1, MAL2, SLIT2, MEST, KCNJ1, SLC12A3, MCOLN3, ERVMER34-1, TMEM30B, GALNT3, PCDH9, LGI4, EGF, LUM, SLC12A1, LGI2, MUC5B, NELL1, MFAP4, SLC4A9, FRAS1, GLRB, NPHS1, NPHS2, XPNPEP2, FOLR3, CPVL, PFKP	554	4733	14104	1.4953430136814942	6.661338147750939E-15	6.897350299338708E-15	6.0073696155530685E-15
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	272	35.41666666666667	2.8594005244041466E-13	GLDC, MRGPRF, AQP7, SLC4A1, AQP5, ABCA12, AQP2, ENO2, ZDHHC2, RASSF2, GJA3, LIPH, THSD7A, PAQR9, ENTPD3, KCNK10, SLC34A1, KCNK13, COL23A1, ACSL6, SOX11, SLC51B, PHKA2, SFRP1, PLPP4, TRIB3, CFTR, PTGFR, CLCNKB, LPAR1, IL20RB, CLCNKA, CD1D, LYPD6, C3, GJC1, UGT8, NKAIN1, EPB41L5, C7, FLRT2, TERT, TSPAN8, FLRT3, PRKAR2B, KCNMB2, PLCG2, PIP5K1B, TSPAN2, ATP6V0A4, PROM1, TRPM6, SCN3A, TRPM3, GPM6B, PROM2, SLC19A2, TNFSF15, ABCA6, TMEM50B, GP2, ABCA8, CGN, CP, GNG13, EHD2, OCLN, FXYD4, LYPD6B, XKR4, HRG, SLC22A7, TDGF1, MRAP2, SCN2B, CLIC6, DIRAS3, PTPRO, DIRAS2, LPCAT1, GRIK3, PTH1R, FMN2, PCSK6, CHRDL1, EPB41L4B, UCHL1, CHL1, DNER, ANXA9, MUC15, CD36, CCR3, RALGPS1, VAV3, FGFBP1, MME, ANXA3, ANO4, ANO5, F3, TMC4, F5, RGMA, APBB1IP, BACE2, CLDN10, CLDN14, KIT, CLDN19, GAS1, PLIN2, PTGER4, PLPPR1, ADH1C, PTGER1, ADH1A, PTGER3, TMPRSS4, CXCR4, TMPRSS2, KCNA5, ZDHHC22, APOLD1, EPCAM, GPC3, GPC5, GABRD, RHBG, GABRA2, LIMS3, GOLM1, CD70, GAD1, GCGR, F11, MPP7, KITLG, XK, RIMBP2, LGR6, RAMP1, PLCD4, SCARB1, DGKD, ATP12A, SLC8A1, CTGF, LAMP5, CDH6, RGS5, CDH4, RAB42, CDH3, GRB14, IYD, CDH1, CHP2, SLC16A7, ENPP6, SLC16A3, LZTS1, SH3GL2, SLC16A5, PDGFRA, KIRREL2, SEMA6A, SCARA5, CD300A, SLC30A2, SEMA6D, DIO1, NPY1R, PRLR, SCNN1G, C1ORF116, CACNB4, EMCN, SCNN1B, SCNN1A, TBC1D24, DPEP1, RHCG, PLA2R1, TRABD2B, GNAZ, PXK, KCNE1, SHC3, SUCNR1, RHOBTB3, SLC1A3, KNG1, RTN4, DPP6, CPAMD8, SLC38A4, SLC14A1, ARHGEF39, SLC52A3, SLC4A11, HSPA2, LRP1B, DLG2, TRPV6, TMEM116, CNTN1, MYCBPAP, CSPG4, SLC26A4, BMPR1B, DOCK3, HTR2B, HK2, ADGRE1, CA2, BDKRB2, CA9, NOS1, QRFPR, ABCC3, SLC13A1, SLC13A3, NPY5R, KSR2, EPN3, ARL4D, ADGRF1, TDGF1P3, SLC25A5, CDH19, SLC47A2, SLC24A3, SLC5A11, ATP1A4, ATP1A3, PLG, ATP1A2, ABHD17C, TSPAN33, TSPAN32, MUC1, CLMP, MARVELD2, ERBB4, PRRG2, BSND, KCNJ1, SLC12A3, MCOLN3, ERVMER34-1, KCNJ10, TMEM30B, PCDH9, KCNJ12, EGF, KCNJ13, PLCL1, SLC12A1, AHNAK2, MUC5B, ENOX1, SLC4A9, FRAS1, GLRB, NPHS1, NPHS2, XPNPEP2, GPD1L	713	5334	20587	1.4723783650465851	1.38992817255712E-10	1.3896686548604154E-10	1.341058845945545E-10
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	139	18.098958333333336	3.505001442250347E-12	SCARB1, SLC4A1, AQP5, AQP2, ENO2, ACTG2, EFEMP1, CDH1, FAM3B, ENPP3, ENPP6, SPINK1, TMEM52B, CD300A, ACOT11, KRT7, NPNT, SCNN1G, SFRP1, C1ORF116, SLPI, SCNN1B, SCNN1A, DPEP1, IGFALS, RHCG, HPD, ATP6V0D2, PVALB, PFN2, C5ORF46, SUCNR1, KLK1, RHOBTB3, PROZ, TACSTD2, AGAP2, FBLN1, UMOD, KALRN, FBLN5, KNG1, ADH6, FUT3, C3, LDHB, TSPAN8, FLRT2, C7, PRKAR2B, COBLL1, PLCG2, ATP6V0A4, PROM1, PCK1, MYH10, PROM2, ATP6V1C2, CYP2J2, GSTM3, GP2, HSPA2, CP, AIF1L, EHD2, CXCL12, CILP, OGN, CNTN1, CSPG4, SLC26A4, HRG, CLIC6, LAD1, CLIC5, PTPRO, SERPINA4, SERPINA5, CALB1, CHL1, CRTAC1, CA2, MAN1A1, GGACT, SLC13A3, VWF, GSTO2, MME, ANXA3, RNASET2, PGAM2, SORD, DUSP26, TMC4, MMP9, EPN3, ANGPTL2, IRF6, DNASE1, FBP1, ANGPTL1, ATP6V1B1, HPGD, LAMA4, ITLN1, CXCR4, TMPRSS2, PLG, CST6, THSD4, MUC1, RAB25, EPCAM, MAN1C1, MAL2, SLIT2, GC, MEST, SPAG9, SLC12A3, GALNT3, EGF, CD70, LUM, F11, SLC12A1, MUC5B, FABP1, DES, NPHS1, PSAT1, XPNPEP2, NPHS2, C16ORF89, GPD1L, CPVL, CCL28, PFKP, FRK	713	2219	20587	1.8086770698297945	1.703417407128427E-9	8.517153504668343E-10	8.219228382077063E-10
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	43	5.598958333333334	2.8232154946707392E-11	SLC47A2, CLIC5, KCNE1, PTPRO, SLC5A11, UMOD, AQP5, PTH1R, ATP12A, AQP2, MUC1, MARVELD2, EPCAM, MAL2, ATP6V0A4, ENPP3, CD36, PROM1, TRPM6, SLC16A3, PROM2, SLC13A1, SLC12A3, SLC34A1, SLC12A1, SLC52A3, GP2, SHROOM3, SLC4A11, ASPM, SCNN1G, OCLN, SCNN1B, SCNN1A, DPEP1, MAL, CSPG4, RHCG, SLC26A4, TDGF1, ATP6V0D2, CFTR, ATP6V1B1	713	378	20587	3.284582619084723	1.3720846347986537E-8	4.573609101366598E-9	4.4136268900019226E-9
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	59	7.682291666666667	8.15121375435273E-11	CLIC6, CLIC5, GRIK3, SLC4A1, ATP12A, SLC8A1, SLC22A15, SLC13A1, SLC13A3, SCARA5, KCNK10, SLC30A2, SLC34A1, KCNK13, KCTD1, TMC4, SCNN1G, CLDN10, CACNB4, SCNN1B, SCNN1A, ATP6V0D2, CFTR, ATP6V1B1, KCNE1, SLC24A3, SLC5A11, CLCNKB, ATP1A4, CLCNKA, ATP1A3, KCNA5, ATP1A2, KCNMB2, ATP6V0A4, TRPM6, GABRD, KCNJ1, SCN3A, TRPM3, SLC38A4, ATP6V1C2, GABRA2, SLC12A3, MCOLN3, KCNJ10, KCNJ12, KCNJ13, SLC12A1, SLC4A11, PKDREJ, CP, BSPRY, SLC4A9, GLRB, FXYD4, TRPV6, SLC22A7, SCN2B	400	658	11248	2.521398176291793	9.699943515073528E-9	9.699944367679749E-9	8.966335129788003E-9
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	33	4.296875	1.1018980523943179E-10	HPGD, MTTP, AQP7, UMOD, SLC4A1, CD1D, PTH1R, ATP12A, AQP2, MARVELD2, ERBB4, EPCAM, BSND, SLC16A7, CA9, ATP6V0A4, SLC16A3, RHBG, PROM2, ABCC3, SLC14A1, SLC13A3, KCNJ10, SLC4A11, ABCA8, SLC51B, SLC4A9, DLG2, CLDN19, ALPK2, RHCG, SLC22A7, ATP6V1B1	713	245	20587	3.88912041675015	5.35522691746948E-8	1.3388061336590963E-8	1.2919754664323378E-8
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	136	17.708333333333336	1.7716794144156771E-10	OLFML2A, FGF1, CNDP1, LOXL2, CTGF, SCGN, CRHBP, FGF7, EFEMP1, FGF9, LIPH, IGLON5, FAM3B, SVEP1, THSD7A, ENPP3, CHGB, CCBE1, ST6GAL1, SPINK1, IGFBP3, NPNT, PRLR, PGF, SFRP1, EMCN, LOX, SLPI, COL4A4, PAPPA, COL4A6, COL4A5, IGFALS, PLA2R1, FREM1, CALCA, C5ORF46, PROZ, DPT, FBLN1, UMOD, PLA2G7, LYPD6, FBLN5, KNG1, ADAMTS16, C3, C7, FLRT2, FLRT3, STC2, CPAMD8, TNFSF15, LY86, GP2, INHBB, GDF6, CP, CXCL12, CILP, OGN, SPINK13, HRG, TDGF1, LAD1, TNFAIP6, COL14A1, HILPDA, ADM, PCSK6, MTRNR2L2, CHRDL1, HAPLN1, SERPINA4, SERPINA5, ESM1, CHL1, CRTAC1, C1QTNF7, SOSTDC1, SOST, MUC15, EDN1, CLUL1, FGFBP1, VWF, RNASET2, NOG, F3, MMP9, DCN, F5, GREM2, ADGRF1, ANGPTL2, ANGPTL4, DNASE1, ANGPTL1, LAMA2, LAMA4, TMPRSS4, ITLN1, TMPRSS2, NDNF, PLG, VWCE, CST6, NTN1, THSD4, MUC1, SUSD4, SPOCK1, GPC5, SLIT2, GC, CGREF1, ERVMER34-1, LGI4, ODAM, CCL20, LUM, F11, LGI2, PRSS35, MUC5B, ENOX1, APLN, VEGFA, NELL1, MFAP4, KITLG, APOC1, C16ORF89, FOLR3, CCL28	656	2133	17662	1.7166592341028895	7.972557614088771E-9	7.972557364870547E-9	7.263885599104276E-9
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	97	12.630208333333334	3.227237974802291E-10	SCARB1, AQP7, SLC4A1, AQP5, AQP2, ZDHHC2, SLC8A1, CDH4, GJA3, IYD, SLC16A7, SLC16A3, SLC16A5, PDGFRA, KIRREL2, SEMA6A, SCARA5, KCNK10, SEMA6D, SLC34A1, KCNK13, NPY1R, SCNN1G, SCNN1B, SCNN1A, RHCG, PLA2R1, TRABD2B, CFTR, PTGFR, LPAR1, CLCNKB, IL20RB, SLC1A3, CLCNKA, CD1D, TSPAN8, FLRT2, FLRT3, KCNMB2, TSPAN2, PROM1, TRPM6, TRPM3, SLC38A4, PROM2, SLC14A1, TNFSF15, SLC52A3, TRPV6, CSPG4, SLC26A4, SLC22A7, PTPRO, HTR2B, GRIK3, PTH1R, ADGRE1, BDKRB2, CD36, QRFPR, CCR3, ABCC3, NPY5R, MME, TMC4, F3, SORCS2, KIT, SLC25A5, SLC24A3, PLPPR1, PTGER1, PTGER3, ATP1A4, TMPRSS2, KCNA5, TSPAN33, TSPAN32, MUC1, ERBB4, PRRG2, BSND, GABRD, RHBG, GABRA2, SLC12A3, KCNJ10, PCDH9, GOLM1, CD70, GCGR, NPHS1, GLRB, NPHS2, LGR6, RAMP1	713	1438	20587	1.94767452067407	1.56843777632254E-7	2.9568280358077663E-8	2.8533998946375362E-8
GOTERM_CC_DIRECT	GO:0005576~extracellular region	128	16.666666666666664	3.650404982478724E-10	OLFML2A, FGF1, CNDP1, CTGF, SCGN, CRHBP, FGF7, EFEMP1, FGF9, CDH1, LIPH, IGLON5, FAM3B, SVEP1, THSD7A, ENPP6, IL13RA2, CHGB, ST6GAL1, IGFBP3, NPNT, PRLR, PGF, SFRP1, EMCN, LOX, SLPI, COL4A4, PAPPA, COL4A6, COL4A5, IGFALS, PLA2R1, LPA, FREM1, PTGFR, CALCA, PROZ, FBLN1, PLA2G7, LYPD6, FBLN5, KNG1, ADAMTS16, C3, C7, STC2, CPAMD8, DNAH11, TNFSF15, GP2, INHBB, GDF6, CP, CXCL12, LYPD6B, OGN, SPINK13, CSPG4, HRG, TDGF1, LAD1, TNFAIP6, COL14A1, ADM, CTSV, PCSK6, MTRNR2L2, CHRDL1, HAPLN1, SERPINA4, SERPINA5, ESM1, C1QTNF7, SOST, MUC15, EDN1, CLUL1, FGFBP1, VWF, RNASET2, NOG, MMP9, DCN, F5, GREM2, ADGRF1, PLIN2, TDGF1P3, ANGPTL4, DNASE1, LAMA2, LAMA4, ITLN1, TMPRSS2, NDNF, PLG, VWCE, NTN1, APOLD1, ERBB4, PRRG2, SUSD4, SPOCK1, GPC5, SLIT2, GC, CGREF1, ERVMER34-1, LGI4, EGF, ODAM, CCL20, LUM, F11, LGI2, PRSS35, APLN, VEGFA, NELL1, MFAP4, KITLG, XPNPEP2, APOC1, FOLR3, CCL28, FRK	713	2119	20587	1.744144840609274	1.774096932694036E-7	2.9568280358077663E-8	2.8533998946375362E-8
