Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Predicted occupancy (low miRNA),Predicted occupancy (high miRNA),Predicted occupancy (transfected miRNA),Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
ZNF800,ENST00000393313.1,zinc finger protein 800 ,239,2,1,1,0,1,0,1,0,1,hsa-miR-140-5p,0.0245,0.1732,0.976,-1.17,-1.17,0.83,"2007, 2009, 2011
"
KATNBL1,ENST00000256544.3,katanin p80 subunit B-like 1 ,105,1,1,0,0,1,0,0,1,2,hsa-miR-140-5p,0.0199,0.1357,0.6618,-0.9,-1.01,0.77,"2007, 2009, 2011
"
TSSK2,ENST00000399635.2,testis-specific serine kinase 2 ,5,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0103,0.0716,0.3647,-0.9,-0.9,0.49,"2007, 2009, 2011
"
LRAT,ENST00000336356.3,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase) ,9,1,0,1,0,3,1,1,1,0,hsa-miR-140-5p,0.019,0.1363,0.8186,-0.88,-0.88,0.62,2011
MSMP,ENST00000436428.2,"microseminoprotein, prostate associated ",23,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0091,0.0633,0.3332,-0.79,-0.79,0.59,"2007, 2009, 2011
"
MMD,ENST00000262065.3,monocyte to macrophage differentiation-associated ,558,1,1,0,0,1,0,1,0,0,hsa-miR-140-5p,0.0174,0.1198,0.6108,-0.77,-0.78,0.6,"2007, 2009, 2011
"
YOD1,ENST00000315927.4,YOD1 deubiquitinase ,55,1,1,0,0,2,0,1,1,1,hsa-miR-140-5p,0.0193,0.1356,0.7494,-0.75,-0.82,0.47,"2009, 2011
"
SNX2,ENST00000379516.2,sorting nexin 2 ,397,1,1,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0143,0.097,0.4453,-0.73,-0.73,0.79,"2007, 2009, 2011
"
SEPT2,ENST00000391971.2,septin 2 ,1445,1,1,0,0,1,1,0,0,1,hsa-miR-140-5p,0.0133,0.0939,0.5199,-0.71,-0.95,0.67,"2007, 2009, 2011
"
EPB41L2,ENST00000531410.1,erythrocyte membrane protein band 4.1-like 2 ,353,1,0,1,0,1,0,0,1,0,hsa-miR-140-5p,0.0129,0.0899,0.4762,-0.7,-0.7,0.69,"2007, 2009, 2011
"
LHFPL2,ENST00000515007.2,lipoma HMGIC fusion partner-like 2 ,16,1,0,1,0,2,1,0,1,1,hsa-miR-140-5p,0.0223,0.1571,0.8697,-0.69,-0.69,0.68,"2009, 2011
"
WNT9A,ENST00000272164.5,"wingless-type MMTV integration site family, member 9A ",73,2,2,0,0,0,0,0,0,0,hsa-miR-140-5p,0.0205,0.1417,0.7149,-0.68,-0.68,0.95,"NULL
"
